scenario	antigen	bin	freq	min	max	median	n
Two-hit	unbound	-1.0	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.95	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.95	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.9	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.9	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.85	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.85	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.8	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.8	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.75	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.75	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.7	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.7	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.65	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.65	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.6	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.6	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.55	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.55	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.5	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.5	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.45	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.45	0.002621231979030144	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.4	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.4	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.35	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.35	0.0	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.3	0.002380952380952381	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.3	0.003931847968545216	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.25	0.0011904761904761906	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.25	0.002621231979030144	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.2	0.011904761904761904	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.2	0.005242463958060288	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.15	0.02023809523809524	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.15	0.014416775884665793	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.1	0.05476190476190476	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.1	0.04456094364351245	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	-0.05	0.17976190476190476	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	-0.05	0.16382699868938402	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.0	0.23809523809523808	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.0	0.21756225425950196	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.05	0.24166666666666667	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.05	0.28833551769331583	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.1	0.14404761904761904	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.1	0.11795543905635648	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.15	0.06547619047619048	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.15	0.0655307994757536	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.2	0.02261904761904762	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
Two-hit	unbound	0.2	0.03669724770642202	-0.42	0.45799999999999996	0.05999999999999994	763
Two-hit	bound	0.25	0.013095238095238096	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
